,geo_accession,geo_accession.1,GSE,tissue_source,disease_status,GSEid,class
0,GSM4210123,GSM4210123,GSE141631,whole blood,dermatitis,GSE141631,1
102,GSM4209698,GSM4209698,GSE141661,whole blood,dermatitis,GSE141661,1
101,GSM4210220,GSM4210220,GSE141661,whole blood,dermatitis,GSE141661,1
100,GSM4209759,GSM4209759,GSE141661,whole blood,dermatitis,GSE141661,1
99,GSM4209776,GSM4209776,GSE141661,whole blood,dermatitis,GSE141661,1
98,GSM4209865,GSM4209865,GSE141661,whole blood,dermatitis,GSE141661,1
97,GSM4210130,GSM4210130,GSE141631,whole blood,dermatitis,GSE141631,1
96,GSM4210118,GSM4210118,GSE141631,whole blood,dermatitis,GSE141631,1
95,GSM4209620,GSM4209620,GSE141661,whole blood,dermatitis,GSE141661,1
94,GSM4209860,GSM4209860,GSE141661,whole blood,dermatitis,GSE141661,1
93,GSM4209664,GSM4209664,GSE141661,whole blood,dermatitis,GSE141661,1
92,GSM4210177,GSM4210177,GSE141661,whole blood,dermatitis,GSE141661,1
91,GSM4210199,GSM4210199,GSE141661,whole blood,dermatitis,GSE141661,1
90,GSM4209737,GSM4209737,GSE141661,whole blood,dermatitis,GSE141661,1
89,GSM4209639,GSM4209639,GSE141661,whole blood,dermatitis,GSE141661,1
88,GSM4210243,GSM4210243,GSE141631,whole blood,dermatitis,GSE141631,1
87,GSM4210103,GSM4210103,GSE141631,whole blood,dermatitis,GSE141631,1
86,GSM4209724,GSM4209724,GSE141661,whole blood,dermatitis,GSE141661,1
72,GSM4209634,GSM4209634,GSE141661,whole blood,dermatitis,GSE141661,1
73,GSM4210079,GSM4210079,GSE141661,whole blood,dermatitis,GSE141661,1
74,GSM4209786,GSM4209786,GSE141661,whole blood,dermatitis,GSE141661,1
75,GSM4210173,GSM4210173,GSE141661,whole blood,dermatitis,GSE141661,1
76,GSM4210096,GSM4210096,GSE141661,whole blood,dermatitis,GSE141661,1
77,GSM4210066,GSM4210066,GSE141631,whole blood,dermatitis,GSE141631,1
103,GSM4210088,GSM4210088,GSE141661,whole blood,dermatitis,GSE141661,1
78,GSM4209745,GSM4209745,GSE141661,whole blood,dermatitis,GSE141661,1
80,GSM4209849,GSM4209849,GSE141661,whole blood,dermatitis,GSE141661,1
81,GSM4209695,GSM4209695,GSE141661,whole blood,dermatitis,GSE141661,1
82,GSM4209739,GSM4209739,GSE141661,whole blood,dermatitis,GSE141661,1
83,GSM4209666,GSM4209666,GSE141661,whole blood,dermatitis,GSE141661,1
84,GSM4210249,GSM4210249,GSE141631,whole blood,dermatitis,GSE141631,1
85,GSM4209645,GSM4209645,GSE141661,whole blood,dermatitis,GSE141661,1
79,GSM4210197,GSM4210197,GSE141661,whole blood,dermatitis,GSE141661,1
104,GSM4209757,GSM4209757,GSE141661,whole blood,dermatitis,GSE141661,1
105,GSM4210162,GSM4210162,GSE141631,whole blood,dermatitis,GSE141631,1
106,GSM4209792,GSM4209792,GSE141661,whole blood,dermatitis,GSE141661,1
125,GSM4209830,GSM4209830,GSE141661,whole blood,dermatitis,GSE141661,1
126,GSM4209803,GSM4209803,GSE141661,whole blood,dermatitis,GSE141661,1
127,GSM4210161,GSM4210161,GSE141631,whole blood,dermatitis,GSE141631,1
129,GSM4209835,GSM4209835,GSE141661,whole blood,dermatitis,GSE141661,1
130,GSM4209800,GSM4209800,GSE141661,whole blood,dermatitis,GSE141661,1
131,GSM4209691,GSM4209691,GSE141661,whole blood,dermatitis,GSE141661,1
124,GSM4209863,GSM4209863,GSE141661,whole blood,dermatitis,GSE141661,1
132,GSM4209833,GSM4209833,GSE141661,whole blood,dermatitis,GSE141661,1
134,GSM4209754,GSM4209754,GSE141661,whole blood,dermatitis,GSE141661,1
135,GSM4209622,GSM4209622,GSE141661,whole blood,dermatitis,GSE141661,1
136,GSM4209819,GSM4209819,GSE141661,whole blood,dermatitis,GSE141661,1
137,GSM5158854,GSM5158854,GSE168694,peripheral blood mononuclear cells (PBMCs),dermatitis,GSE168694,1
138,GSM4209689,GSM4209689,GSE141661,whole blood,dermatitis,GSE141661,1
139,GSM4209671,GSM4209671,GSE141661,whole blood,dermatitis,GSE141661,1
133,GSM4210121,GSM4210121,GSE141631,whole blood,dermatitis,GSE141631,1
71,GSM4210239,GSM4210239,GSE141631,whole blood,dermatitis,GSE141631,1
123,GSM4209682,GSM4209682,GSE141661,whole blood,dermatitis,GSE141661,1
121,GSM4209839,GSM4209839,GSE141661,whole blood,dermatitis,GSE141661,1
107,GSM4209774,GSM4209774,GSE141661,whole blood,dermatitis,GSE141661,1
108,GSM4209638,GSM4209638,GSE141661,whole blood,dermatitis,GSE141661,1
109,GSM4210160,GSM4210160,GSE141661,whole blood,dermatitis,GSE141661,1
110,GSM4209826,GSM4209826,GSE141661,whole blood,dermatitis,GSE141661,1
111,GSM4210248,GSM4210248,GSE141661,whole blood,dermatitis,GSE141661,1
112,GSM4209802,GSM4209802,GSE141661,whole blood,dermatitis,GSE141661,1
122,GSM5158853,GSM5158853,GSE168694,peripheral blood mononuclear cells (PBMCs),dermatitis,GSE168694,1
113,GSM4209741,GSM4209741,GSE141661,whole blood,dermatitis,GSE141661,1
115,GSM4210092,GSM4210092,GSE141661,whole blood,dermatitis,GSE141661,1
116,GSM4210183,GSM4210183,GSE141631,whole blood,dermatitis,GSE141631,1
117,GSM4210211,GSM4210211,GSE141631,whole blood,dermatitis,GSE141631,1
118,GSM4210104,GSM4210104,GSE141661,whole blood,dermatitis,GSE141661,1
119,GSM4209648,GSM4209648,GSE141661,whole blood,dermatitis,GSE141661,1
120,GSM4209669,GSM4209669,GSE141661,whole blood,dermatitis,GSE141661,1
114,GSM4209646,GSM4209646,GSE141661,whole blood,dermatitis,GSE141661,1
70,GSM4210061,GSM4210061,GSE141631,whole blood,dermatitis,GSE141631,1
128,GSM5158851,GSM5158851,GSE168694,peripheral blood mononuclear cells (PBMCs),dermatitis,GSE168694,1
68,GSM4210234,GSM4210234,GSE141661,whole blood,dermatitis,GSE141661,1
31,GSM4210207,GSM4210207,GSE141661,whole blood,dermatitis,GSE141661,1
30,GSM4209870,GSM4209870,GSE141661,whole blood,dermatitis,GSE141661,1
29,GSM4210058,GSM4210058,GSE141661,whole blood,dermatitis,GSE141661,1
28,GSM4210097,GSM4210097,GSE141631,whole blood,dermatitis,GSE141631,1
27,GSM4210184,GSM4210184,GSE141631,whole blood,dermatitis,GSE141631,1
26,GSM4209677,GSM4209677,GSE141661,whole blood,dermatitis,GSE141661,1
25,GSM4210132,GSM4210132,GSE141661,whole blood,dermatitis,GSE141661,1
24,GSM4209711,GSM4209711,GSE141661,whole blood,dermatitis,GSE141661,1
23,GSM4210059,GSM4210059,GSE141661,whole blood,dermatitis,GSE141661,1
22,GSM4210151,GSM4210151,GSE141661,whole blood,dermatitis,GSE141661,1
21,GSM4210159,GSM4210159,GSE141661,whole blood,dermatitis,GSE141661,1
20,GSM4210154,GSM4210154,GSE141631,whole blood,dermatitis,GSE141631,1
19,GSM4210221,GSM4210221,GSE141661,whole blood,dermatitis,GSE141661,1
18,GSM4210076,GSM4210076,GSE141661,whole blood,dermatitis,GSE141661,1
17,GSM4210094,GSM4210094,GSE141661,whole blood,dermatitis,GSE141661,1
16,GSM4210216,GSM4210216,GSE141631,whole blood,dermatitis,GSE141631,1
15,GSM4210235,GSM4210235,GSE141631,whole blood,dermatitis,GSE141631,1
69,GSM4209717,GSM4209717,GSE141661,whole blood,dermatitis,GSE141661,1
1,GSM4209673,GSM4209673,GSE141661,whole blood,dermatitis,GSE141661,1
2,GSM4210067,GSM4210067,GSE141661,whole blood,dermatitis,GSE141661,1
3,GSM4210133,GSM4210133,GSE141661,whole blood,dermatitis,GSE141661,1
4,GSM4210142,GSM4210142,GSE141631,whole blood,dermatitis,GSE141631,1
5,GSM4209660,GSM4209660,GSE141661,whole blood,dermatitis,GSE141661,1
32,GSM4210083,GSM4210083,GSE141631,whole blood,dermatitis,GSE141631,1
6,GSM4210147,GSM4210147,GSE141661,whole blood,dermatitis,GSE141661,1
9,GSM4210086,GSM4210086,GSE141631,whole blood,dermatitis,GSE141631,1
10,GSM4210157,GSM4210157,GSE141631,whole blood,dermatitis,GSE141631,1
11,GSM4209730,GSM4209730,GSE141661,whole blood,dermatitis,GSE141661,1
12,GSM4210098,GSM4210098,GSE141631,whole blood,dermatitis,GSE141631,1
13,GSM4210174,GSM4210174,GSE141631,whole blood,dermatitis,GSE141631,1
14,GSM4210222,GSM4210222,GSE141661,whole blood,dermatitis,GSE141661,1
8,GSM4209684,GSM4209684,GSE141661,whole blood,dermatitis,GSE141661,1
33,GSM4210060,GSM4210060,GSE141631,whole blood,dermatitis,GSE141631,1
7,GSM4210251,GSM4210251,GSE141661,whole blood,dermatitis,GSE141661,1
35,GSM4209780,GSM4209780,GSE141661,whole blood,dermatitis,GSE141661,1
54,GSM4210179,GSM4210179,GSE141661,whole blood,dermatitis,GSE141661,1
55,GSM4210081,GSM4210081,GSE141631,whole blood,dermatitis,GSE141631,1
56,GSM4210163,GSM4210163,GSE141661,whole blood,dermatitis,GSE141661,1
57,GSM4210165,GSM4210165,GSE141631,whole blood,dermatitis,GSE141631,1
58,GSM4209735,GSM4209735,GSE141661,whole blood,dermatitis,GSE141661,1
59,GSM4209667,GSM4209667,GSE141661,whole blood,dermatitis,GSE141661,1
53,GSM4209832,GSM4209832,GSE141661,whole blood,dermatitis,GSE141661,1
60,GSM4209742,GSM4209742,GSE141661,whole blood,dermatitis,GSE141661,1
62,GSM4209768,GSM4209768,GSE141661,whole blood,dermatitis,GSE141661,1
64,GSM4210075,GSM4210075,GSE141631,whole blood,dermatitis,GSE141631,1
65,GSM4209805,GSM4209805,GSE141661,whole blood,dermatitis,GSE141661,1
66,GSM4210077,GSM4210077,GSE141661,whole blood,dermatitis,GSE141661,1
34,GSM4210144,GSM4210144,GSE141631,whole blood,dermatitis,GSE141631,1
67,GSM4209765,GSM4209765,GSE141661,whole blood,dermatitis,GSE141661,1
61,GSM4209726,GSM4209726,GSE141661,whole blood,dermatitis,GSE141661,1
52,GSM4210246,GSM4210246,GSE141661,whole blood,dermatitis,GSE141661,1
63,GSM4210138,GSM4210138,GSE141661,whole blood,dermatitis,GSE141661,1
50,GSM4210117,GSM4210117,GSE141631,whole blood,dermatitis,GSE141631,1
51,GSM4209643,GSM4209643,GSE141661,whole blood,dermatitis,GSE141661,1
38,GSM4210172,GSM4210172,GSE141631,whole blood,dermatitis,GSE141631,1
39,GSM4209875,GSM4209875,GSE141661,whole blood,dermatitis,GSE141661,1
41,GSM5158852,GSM5158852,GSE168694,peripheral blood mononuclear cells (PBMCs),dermatitis,GSE168694,1
42,GSM4210224,GSM4210224,GSE141631,whole blood,dermatitis,GSE141631,1
36,GSM4210176,GSM4210176,GSE141661,whole blood,dermatitis,GSE141661,1
43,GSM4209756,GSM4209756,GSE141661,whole blood,dermatitis,GSE141661,1
40,GSM4210091,GSM4210091,GSE141661,whole blood,dermatitis,GSE141661,1
45,GSM4209840,GSM4209840,GSE141661,whole blood,dermatitis,GSE141661,1
49,GSM4209831,GSM4209831,GSE141661,whole blood,dermatitis,GSE141661,1
44,GSM4209708,GSM4209708,GSE141661,whole blood,dermatitis,GSE141661,1
48,GSM4209685,GSM4209685,GSE141661,whole blood,dermatitis,GSE141661,1
47,GSM4209727,GSM4209727,GSE141661,whole blood,dermatitis,GSE141661,1
37,GSM4209869,GSM4209869,GSE141661,whole blood,dermatitis,GSE141661,1
46,GSM4210227,GSM4210227,GSE141631,whole blood,dermatitis,GSE141631,1
290,GSM4210127,GSM4210127,GSE141631,whole blood,healthy,GSE141631,0
291,GSM1108172,GSM1108172,GSE45537,whole blood,healthy,GSE45537,0
292,GSM1108165,GSM1108165,GSE45537,whole blood,healthy,GSE45537,0
289,GSM556442,GSM556442,GSE22356,PMBCs,healthy,GSE22356,0
294,GSM4209704,GSM4209704,GSE141661,whole blood,healthy,GSE141661,0
295,GSM4210135,GSM4210135,GSE141661,whole blood,healthy,GSE141661,0
296,GSM4210116,GSM4210116,GSE141631,whole blood,healthy,GSE141631,0
297,GSM4209772,GSM4209772,GSE141661,whole blood,healthy,GSE141661,0
298,GSM4210073,GSM4210073,GSE141661,whole blood,healthy,GSE141661,0
299,GSM9485666,GSM9485666,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
300,GSM4209630,GSM4209630,GSE141661,whole blood,healthy,GSE141661,0
293,GSM4210110,GSM4210110,GSE141631,whole blood,healthy,GSE141631,0
306,GSM4210106,GSM4210106,GSE141631,whole blood,healthy,GSE141631,0
302,GSM4210219,GSM4210219,GSE141631,whole blood,healthy,GSE141631,0
303,GSM4210170,GSM4210170,GSE141661,whole blood,healthy,GSE141661,0
304,GSM4210153,GSM4210153,GSE141661,whole blood,healthy,GSE141661,0
305,GSM4209642,GSM4209642,GSE141661,whole blood,healthy,GSE141661,0
307,GSM4210057,GSM4210057,GSE141661,whole blood,healthy,GSE141661,0
308,GSM4209827,GSM4209827,GSE141661,whole blood,healthy,GSE141661,0
309,GSM4210182,GSM4210182,GSE141631,whole blood,healthy,GSE141631,0
310,GSM4210189,GSM4210189,GSE141661,whole blood,healthy,GSE141661,0
311,GSM5410733,GSM5410733,GSE179153,PBC,healthy,GSE179153,0
288,GSM4210168,GSM4210168,GSE141631,whole blood,healthy,GSE141631,0
312,GSM5410711,GSM5410711,GSE179153,PBC,healthy,GSE179153,0
313,GSM9485643,GSM9485643,GSE318067,circulating cells from peripheral blood,healthy,GSE318067,0
301,GSM5410732,GSM5410732,GSE179153,PBC,healthy,GSE179153,0
287,GSM1108157,GSM1108157,GSE45537,whole blood,healthy,GSE45537,0
271,GSM5158848,GSM5158848,GSE168694,peripheral blood mononuclear cells (PBMCs),healthy,GSE168694,0
285,GSM4210169,GSM4210169,GSE141661,whole blood,healthy,GSE141661,0
259,GSM4210137,GSM4210137,GSE141661,whole blood,healthy,GSE141661,0
314,GSM4210229,GSM4210229,GSE141661,whole blood,healthy,GSE141661,0
260,GSM5410717,GSM5410717,GSE179153,PBC,healthy,GSE179153,0
261,GSM4210070,GSM4210070,GSE141661,whole blood,healthy,GSE141661,0
262,GSM6222689,GSM6222689,GSE205751,peripheral blood mononuclear cell,healthy,GSE205751,0
263,GSM5410731,GSM5410731,GSE179153,PBC,healthy,GSE179153,0
264,GSM4210100,GSM4210100,GSE141661,whole blood,healthy,GSE141661,0
265,GSM4210085,GSM4210085,GSE141661,whole blood,healthy,GSE141661,0
266,GSM5410707,GSM5410707,GSE179153,PBC,healthy,GSE179153,0
267,GSM2672532,GSM2672532,GSE100158,whole blood,healthy,GSE100158,0
268,GSM1108153,GSM1108153,GSE45537,whole blood,healthy,GSE45537,0
269,GSM1108163,GSM1108163,GSE45537,whole blood,healthy,GSE45537,0
286,GSM4210101,GSM4210101,GSE141661,whole blood,healthy,GSE141661,0
270,GSM4210240,GSM4210240,GSE141631,whole blood,healthy,GSE141631,0
273,GSM1108150,GSM1108150,GSE45537,whole blood,healthy,GSE45537,0
274,GSM4210071,GSM4210071,GSE141631,whole blood,healthy,GSE141631,0
275,GSM1108170,GSM1108170,GSE45537,whole blood,healthy,GSE45537,0
276,GSM4210210,GSM4210210,GSE141661,whole blood,healthy,GSE141661,0
277,GSM4210146,GSM4210146,GSE141661,whole blood,healthy,GSE141661,0
